date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:33	10715/10715	---M-Z	200	added ('OK')	text/html	etag:W/%225ef736d2-29db%22	https://aminbabu.github.io/Portfolio_06_19_2020/?fbclid=IwAR2PChhQlhWQ_JIT86sd5kDAXGMYYChgYQ16hE0GMAOIpJXMuDmIbCbdCdg	E:/my%20work/MY%20TASk/aminbabu.github.io/Portfolio_06_19_2020/index6e04.html	(from )
20:50:33	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d363bee-247b%22	https://aminbabu.github.io/robots.txt		(from )
20:50:34	11489/11489	---M-Z	200	added ('OK')	text/css	etag:W/%225ef736d1-2ce1%22	https://aminbabu.github.io/Portfolio_06_19_2020/css/style.css	E:/my%20work/MY%20TASk/aminbabu.github.io/Portfolio_06_19_2020/css/style.css	(from https://aminbabu.github.io/Portfolio_06_19_2020/?fbclid=IwAR2PChhQlhWQ_JIT86sd5kDAXGMYYChgYQ16hE0GMAOIpJXMuDmIbCbdCdg)
20:50:35	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4939-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	E:/my%20work/MY%20TASk/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://aminbabu.github.io/Portfolio_06_19_2020/?fbclid=IwAR2PChhQlhWQ_JIT86sd5kDAXGMYYChgYQ16hE0GMAOIpJXMuDmIbCbdCdg)
20:50:36	6561/6561	---M-Z	200	added ('OK')	application/javascript	etag:W/%2219a1-BLF5hqP69od8llJUS5mlH5n63Zw%22	https://cdn.jsdelivr.net/gh/cferdinandi/smooth-scroll/dist/smooth-scroll.polyfills.min.js	E:/my%20work/MY%20TASk/cdn.jsdelivr.net/gh/cferdinandi/smooth-scroll/dist/smooth-scroll.polyfills.min.js	(from https://aminbabu.github.io/Portfolio_06_19_2020/?fbclid=IwAR2PChhQlhWQ_JIT86sd5kDAXGMYYChgYQ16hE0GMAOIpJXMuDmIbCbdCdg)
20:50:37	43303/43303	---M--	200	added ('OK')	image/jpeg	etag:%225ef736d1-a927%22	https://aminbabu.github.io/Portfolio_06_19_2020/images/avatar-2.jpg	E:/my%20work/MY%20TASk/aminbabu.github.io/Portfolio_06_19_2020/images/avatar-2.jpg	(from https://aminbabu.github.io/Portfolio_06_19_2020/?fbclid=IwAR2PChhQlhWQ_JIT86sd5kDAXGMYYChgYQ16hE0GMAOIpJXMuDmIbCbdCdg)
20:50:51	708389/708389	---M--	200	added ('OK')	image/jpeg	etag:%225ef736d1-acf25%22	https://aminbabu.github.io/Portfolio_06_19_2020/images/box.jpg	E:/my%20work/MY%20TASk/aminbabu.github.io/Portfolio_06_19_2020/images/box.jpg	(from https://aminbabu.github.io/Portfolio_06_19_2020/?fbclid=IwAR2PChhQlhWQ_JIT86sd5kDAXGMYYChgYQ16hE0GMAOIpJXMuDmIbCbdCdg)
20:51:06	916816/916816	---M--	200	added ('OK')	image/jpeg	etag:%225ef736d1-dfd50%22	https://aminbabu.github.io/Portfolio_06_19_2020/images/blueorange.jpg	E:/my%20work/MY%20TASk/aminbabu.github.io/Portfolio_06_19_2020/images/blueorange.jpg	(from https://aminbabu.github.io/Portfolio_06_19_2020/?fbclid=IwAR2PChhQlhWQ_JIT86sd5kDAXGMYYChgYQ16hE0GMAOIpJXMuDmIbCbdCdg)
20:51:36	933925/933925	---M--	200	added ('OK')	image/jpeg	etag:%225ef736d2-e4025%22	https://aminbabu.github.io/Portfolio_06_19_2020/images/bulb.jpg	E:/my%20work/MY%20TASk/aminbabu.github.io/Portfolio_06_19_2020/images/bulb.jpg	(from https://aminbabu.github.io/Portfolio_06_19_2020/?fbclid=IwAR2PChhQlhWQ_JIT86sd5kDAXGMYYChgYQ16hE0GMAOIpJXMuDmIbCbdCdg)
20:51:36	1591998/1591998	---M--	200	added ('OK')	image/jpeg	etag:%225ef736d2-184abe%22	https://aminbabu.github.io/Portfolio_06_19_2020/images/design.jpg	E:/my%20work/MY%20TASk/aminbabu.github.io/Portfolio_06_19_2020/images/design.jpg	(from https://aminbabu.github.io/Portfolio_06_19_2020/?fbclid=IwAR2PChhQlhWQ_JIT86sd5kDAXGMYYChgYQ16hE0GMAOIpJXMuDmIbCbdCdg)
20:51:45	37521/37521	---M--	200	added ('OK')	image/jpeg	etag:%225ef736d2-9291%22	https://aminbabu.github.io/Portfolio_06_19_2020/images/user-01.jpg	E:/my%20work/MY%20TASk/aminbabu.github.io/Portfolio_06_19_2020/images/user-01.jpg	(from https://aminbabu.github.io/Portfolio_06_19_2020/?fbclid=IwAR2PChhQlhWQ_JIT86sd5kDAXGMYYChgYQ16hE0GMAOIpJXMuDmIbCbdCdg)
